"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercise","LMS service","Sun Oct 12 13:18:02 GMT 2025","passed","Sun Oct 12 13:18:02 GMT 2025","Get entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Sun Oct 12 13:17:57 GMT 2025","passed","Sun Oct 12 13:17:57 GMT 2025","Login","Authentication","",""
"","265","Get course with incorrect course id","LMS service","Sun Oct 12 13:18:02 GMT 2025","passed","Sun Oct 12 13:18:02 GMT 2025","Validate entity","Courses","",""
"","14","Get user with incorrect user id","LMS service","Sun Oct 12 13:18:12 GMT 2025","passed","Sun Oct 12 13:18:12 GMT 2025","Validate entity","Users","",""
"","21","Create exercise","LMS service","Sun Oct 12 13:18:03 GMT 2025","passed","Sun Oct 12 13:18:03 GMT 2025","Create entity","Exercises","",""
"","293","Refresh token","LMS service","Sun Oct 12 13:17:58 GMT 2025","passed","Sun Oct 12 13:17:58 GMT 2025","Login","Authentication","",""
"","308","Delete course","LMS service","Sun Oct 12 13:18:01 GMT 2025","passed","Sun Oct 12 13:18:01 GMT 2025","Delete entity","Courses","",""
"","550","Create user","LMS service","Sun Oct 12 13:18:08 GMT 2025","passed","Sun Oct 12 13:18:08 GMT 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Sun Oct 12 13:18:08 GMT 2025","passed","Sun Oct 12 13:18:08 GMT 2025","Validate entity","Files","",""
"","250","Invalid refresh token","LMS service","Sun Oct 12 13:17:58 GMT 2025","passed","Sun Oct 12 13:17:58 GMT 2025","Login","Authentication","",""
"","16","Get user by id","LMS service","Sun Oct 12 13:18:10 GMT 2025","passed","Sun Oct 12 13:18:10 GMT 2025","Get entity","Users","",""
"","29","Create file","LMS service","Sun Oct 12 13:18:05 GMT 2025","passed","Sun Oct 12 13:18:06 GMT 2025","Create entity","Files","",""
"","257","Get user me","LMS service","Sun Oct 12 13:18:10 GMT 2025","passed","Sun Oct 12 13:18:10 GMT 2025","Get entity","Users","",""
"","21","Delete file","LMS service","Sun Oct 12 13:18:07 GMT 2025","passed","Sun Oct 12 13:18:07 GMT 2025","Delete entity","Files","",""
"","307","Update course","LMS service","Sun Oct 12 13:17:59 GMT 2025","passed","Sun Oct 12 13:17:59 GMT 2025","Update entity","Courses","",""
"","30","Delete exercise","LMS service","Sun Oct 12 13:18:04 GMT 2025","passed","Sun Oct 12 13:18:04 GMT 2025","Delete entity","Exercises","",""
"","23","Get exercises","LMS service","Sun Oct 12 13:18:04 GMT 2025","passed","Sun Oct 12 13:18:04 GMT 2025","Get entities","Exercises","",""
"","301","Get courses","LMS service","Sun Oct 12 13:17:58 GMT 2025","passed","Sun Oct 12 13:17:58 GMT 2025","Get entities","Courses","",""
"","289","Create user","LMS service","Sun Oct 12 13:18:08 GMT 2025","passed","Sun Oct 12 13:18:08 GMT 2025","Create entity","Users","",""
"","527","Create user","LMS service","Sun Oct 12 13:18:08 GMT 2025","passed","Sun Oct 12 13:18:09 GMT 2025","Create entity","Users","",""
"","269","Update user","LMS service","Sun Oct 12 13:18:11 GMT 2025","passed","Sun Oct 12 13:18:11 GMT 2025","Update entity","Users","",""
"","30","Create course","LMS service","Sun Oct 12 13:18:00 GMT 2025","passed","Sun Oct 12 13:18:00 GMT 2025","Create entity","Courses","",""
"","290","Update exercise","LMS service","Sun Oct 12 13:18:03 GMT 2025","passed","Sun Oct 12 13:18:03 GMT 2025","Update entity","Exercises","",""
"","24","Create file with empty filename","LMS service","Sun Oct 12 13:18:07 GMT 2025","passed","Sun Oct 12 13:18:07 GMT 2025","Validate entity","Files","",""
"","566","Delete user","LMS service","Sun Oct 12 13:18:11 GMT 2025","passed","Sun Oct 12 13:18:12 GMT 2025","Delete entity","Users","",""
"","19","Get file","LMS service","Sun Oct 12 13:18:05 GMT 2025","passed","Sun Oct 12 13:18:05 GMT 2025","Get entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Sun Oct 12 13:18:08 GMT 2025","passed","Sun Oct 12 13:18:08 GMT 2025","Validate entity","Files","",""
"","31","Get course by id","LMS service","Sun Oct 12 13:18:00 GMT 2025","passed","Sun Oct 12 13:18:00 GMT 2025","Get entity","Courses","",""
