"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Create user","LMS service","Thu Oct 02 09:25:01 GMT 2025","passed","Thu Oct 02 09:25:01 GMT 2025","Create entity","Users","",""
"","272","Create exercise","LMS service","Thu Oct 02 09:24:54 GMT 2025","passed","Thu Oct 02 09:24:55 GMT 2025","Create entity","Exercises","",""
"","290","Update exercise","LMS service","Thu Oct 02 09:24:55 GMT 2025","passed","Thu Oct 02 09:24:56 GMT 2025","Update entity","Exercises","",""
"","19","Get file","LMS service","Thu Oct 02 09:24:58 GMT 2025","passed","Thu Oct 02 09:24:58 GMT 2025","Get entity","Files","",""
"","19","Delete exercise","LMS service","Thu Oct 02 09:24:57 GMT 2025","passed","Thu Oct 02 09:24:57 GMT 2025","Delete entity","Exercises","",""
"","563","Create user","LMS service","Thu Oct 02 09:25:01 GMT 2025","passed","Thu Oct 02 09:25:01 GMT 2025","Create entity","Users","",""
"","24","Delete file","LMS service","Thu Oct 02 09:24:59 GMT 2025","passed","Thu Oct 02 09:24:59 GMT 2025","Delete entity","Files","",""
"","31","Create course","LMS service","Thu Oct 02 09:24:54 GMT 2025","passed","Thu Oct 02 09:24:54 GMT 2025","Create entity","Courses","",""
"","28","Get courses","LMS service","Thu Oct 02 09:24:54 GMT 2025","passed","Thu Oct 02 09:24:54 GMT 2025","Get entities","Courses","",""
"","290","Get exercises","LMS service","Thu Oct 02 09:24:57 GMT 2025","passed","Thu Oct 02 09:24:57 GMT 2025","Get entities","Exercises","",""
"","271","Get file with incorrect file id","LMS service","Thu Oct 02 09:25:00 GMT 2025","passed","Thu Oct 02 09:25:01 GMT 2025","Validate entity","Files","",""
"","540","Create user","LMS service","Thu Oct 02 09:25:00 GMT 2025","passed","Thu Oct 02 09:25:01 GMT 2025","Create entity","Users","",""
"","264","Create file with empty filename","LMS service","Thu Oct 02 09:24:59 GMT 2025","passed","Thu Oct 02 09:25:00 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Thu Oct 02 09:25:02 GMT 2025","passed","Thu Oct 02 09:25:02 GMT 2025","Get entity","Users","",""
"","266","Create file","LMS service","Thu Oct 02 09:24:58 GMT 2025","passed","Thu Oct 02 09:24:58 GMT 2025","Create entity","Files","",""
"","17","Get exercise","LMS service","Thu Oct 02 09:24:56 GMT 2025","passed","Thu Oct 02 09:24:56 GMT 2025","Get entity","Exercises","",""
"","307","Update course","LMS service","Thu Oct 02 09:24:53 GMT 2025","passed","Thu Oct 02 09:24:53 GMT 2025","Update entity","Courses","",""
"","269","Create file with empty directory","LMS service","Thu Oct 02 09:25:00 GMT 2025","passed","Thu Oct 02 09:25:00 GMT 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Thu Oct 02 09:24:52 GMT 2025","passed","Thu Oct 02 09:24:53 GMT 2025","Login","Authentication","",""
