"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Create user","LMS service","Sat Oct 11 13:52:00 GMT 2025","passed","Sat Oct 11 13:52:00 GMT 2025","Create entity","Users","",""
"","266","Create file with empty directory","LMS service","Sat Oct 11 13:51:59 GMT 2025","passed","Sat Oct 11 13:51:59 GMT 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Sat Oct 11 13:52:00 GMT 2025","passed","Sat Oct 11 13:52:00 GMT 2025","Create entity","Users","",""
"","292","Get exercise","LMS service","Sat Oct 11 13:51:55 GMT 2025","passed","Sat Oct 11 13:51:55 GMT 2025","Get entity","Exercises","",""
"","22","Update user","LMS service","Sat Oct 11 13:52:02 GMT 2025","passed","Sat Oct 11 13:52:02 GMT 2025","Update entity","Users","",""
"","273","Get file with incorrect file id","LMS service","Sat Oct 11 13:51:59 GMT 2025","passed","Sat Oct 11 13:52:00 GMT 2025","Validate entity","Files","",""
"","21","Get exercises","LMS service","Sat Oct 11 13:51:56 GMT 2025","passed","Sat Oct 11 13:51:56 GMT 2025","Get entities","Exercises","",""
"","312","Update course","LMS service","Sat Oct 11 13:51:51 GMT 2025","passed","Sat Oct 11 13:51:51 GMT 2025","Update entity","Courses","",""
"","298","Delete file","LMS service","Sat Oct 11 13:51:58 GMT 2025","passed","Sat Oct 11 13:51:58 GMT 2025","Delete entity","Files","",""
"","21","Get user by id","LMS service","Sat Oct 11 13:52:01 GMT 2025","passed","Sat Oct 11 13:52:01 GMT 2025","Get entity","Users","",""
"","26","Update exercise","LMS service","Sat Oct 11 13:51:53 GMT 2025","passed","Sat Oct 11 13:51:54 GMT 2025","Update entity","Exercises","",""
"","301","Get courses","LMS service","Sat Oct 11 13:51:51 GMT 2025","passed","Sat Oct 11 13:51:52 GMT 2025","Get entities","Courses","",""
"","541","Create user","LMS service","Sat Oct 11 13:51:59 GMT 2025","passed","Sat Oct 11 13:52:00 GMT 2025","Create entity","Users","",""
"","307","Get course by id","LMS service","Sat Oct 11 13:51:53 GMT 2025","passed","Sat Oct 11 13:51:53 GMT 2025","Get entity","Courses","",""
"","33","Create course","LMS service","Sat Oct 11 13:51:52 GMT 2025","passed","Sat Oct 11 13:51:52 GMT 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Sat Oct 11 13:51:56 GMT 2025","passed","Sat Oct 11 13:51:56 GMT 2025","Get entity","Files","",""
"","266","Create file","LMS service","Sat Oct 11 13:51:57 GMT 2025","passed","Sat Oct 11 13:51:57 GMT 2025","Create entity","Files","",""
"","26","Delete exercise","LMS service","Sat Oct 11 13:51:55 GMT 2025","passed","Sat Oct 11 13:51:55 GMT 2025","Delete entity","Exercises","",""
"","269","Create exercise","LMS service","Sat Oct 11 13:51:54 GMT 2025","passed","Sat Oct 11 13:51:54 GMT 2025","Create entity","Exercises","",""
"","255","Get user me","LMS service","Sat Oct 11 13:52:01 GMT 2025","passed","Sat Oct 11 13:52:01 GMT 2025","Get entity","Users","",""
"","268","Create file with empty filename","LMS service","Sat Oct 11 13:51:58 GMT 2025","passed","Sat Oct 11 13:51:58 GMT 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Sat Oct 11 13:51:50 GMT 2025","passed","Sat Oct 11 13:51:51 GMT 2025","Login","Authentication","",""
