"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Create file with empty filename","LMS service","Wed Oct 01 17:31:36 GMT 2025","passed","Wed Oct 01 17:31:36 GMT 2025","Validate entity","Files","",""
"","315","Update course","LMS service","Wed Oct 01 17:31:29 GMT 2025","passed","Wed Oct 01 17:31:29 GMT 2025","Update entity","Courses","",""
"","521","Create user","LMS service","Wed Oct 01 17:31:37 GMT 2025","passed","Wed Oct 01 17:31:38 GMT 2025","Create entity","Users","",""
"","264","Get file with incorrect file id","LMS service","Wed Oct 01 17:31:37 GMT 2025","passed","Wed Oct 01 17:31:38 GMT 2025","Validate entity","Files","",""
"","33","Create course","LMS service","Wed Oct 01 17:31:30 GMT 2025","passed","Wed Oct 01 17:31:30 GMT 2025","Create entity","Courses","",""
"","18","Get exercises","LMS service","Wed Oct 01 17:31:34 GMT 2025","passed","Wed Oct 01 17:31:34 GMT 2025","Get entities","Exercises","",""
"","556","Login with correct email and password","LMS service","Wed Oct 01 17:31:29 GMT 2025","passed","Wed Oct 01 17:31:29 GMT 2025","Login","Authentication","",""
"","30","Create file with empty directory","LMS service","Wed Oct 01 17:31:36 GMT 2025","passed","Wed Oct 01 17:31:36 GMT 2025","Validate entity","Files","",""
"","35","Create file","LMS service","Wed Oct 01 17:31:34 GMT 2025","passed","Wed Oct 01 17:31:34 GMT 2025","Create entity","Files","",""
"","26","Delete file","LMS service","Wed Oct 01 17:31:35 GMT 2025","passed","Wed Oct 01 17:31:35 GMT 2025","Delete entity","Files","",""
"","18","Get file","LMS service","Wed Oct 01 17:31:35 GMT 2025","passed","Wed Oct 01 17:31:35 GMT 2025","Get entity","Files","",""
"","529","Create user","LMS service","Wed Oct 01 17:31:37 GMT 2025","passed","Wed Oct 01 17:31:37 GMT 2025","Create entity","Users","",""
"","566","Create user","LMS service","Wed Oct 01 17:31:38 GMT 2025","passed","Wed Oct 01 17:31:38 GMT 2025","Create entity","Users","",""
"","25","Delete exercise","LMS service","Wed Oct 01 17:31:33 GMT 2025","passed","Wed Oct 01 17:31:33 GMT 2025","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Wed Oct 01 17:31:39 GMT 2025","passed","Wed Oct 01 17:31:39 GMT 2025","Get entity","Users","",""
"","267","Create exercise","LMS service","Wed Oct 01 17:31:31 GMT 2025","passed","Wed Oct 01 17:31:32 GMT 2025","Create entity","Exercises","",""
"","24","Update exercise","LMS service","Wed Oct 01 17:31:32 GMT 2025","passed","Wed Oct 01 17:31:32 GMT 2025","Update entity","Exercises","",""
"","310","Get courses","LMS service","Wed Oct 01 17:31:30 GMT 2025","passed","Wed Oct 01 17:31:30 GMT 2025","Get entities","Courses","",""
"","288","Get exercise","LMS service","Wed Oct 01 17:31:33 GMT 2025","passed","Wed Oct 01 17:31:33 GMT 2025","Get entity","Exercises","",""
