"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Get exercises","LMS service","Tue Sep 30 11:11:26 GMT 2025","passed","Tue Sep 30 11:11:26 GMT 2025","Get entities","Exercises","",""
"","270","Create file","LMS service","Tue Sep 30 11:11:26 GMT 2025","passed","Tue Sep 30 11:11:27 GMT 2025","Create entity","Files","",""
"","319","Get courses","LMS service","Tue Sep 30 11:11:22 GMT 2025","passed","Tue Sep 30 11:11:22 GMT 2025","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Tue Sep 30 11:11:29 GMT 2025","passed","Tue Sep 30 11:11:30 GMT 2025","Validate entity","Files","",""
"","293","Delete exercise","LMS service","Tue Sep 30 11:11:25 GMT 2025","passed","Tue Sep 30 11:11:26 GMT 2025","Delete entity","Exercises","",""
"","562","Create user","LMS service","Tue Sep 30 11:11:30 GMT 2025","passed","Tue Sep 30 11:11:30 GMT 2025","Create entity","Users","",""
"","292","Get exercise","LMS service","Tue Sep 30 11:11:24 GMT 2025","passed","Tue Sep 30 11:11:25 GMT 2025","Get entity","Exercises","",""
"","47","Create course","LMS service","Tue Sep 30 11:11:23 GMT 2025","passed","Tue Sep 30 11:11:23 GMT 2025","Create entity","Courses","",""
"","28","Delete file","LMS service","Tue Sep 30 11:11:28 GMT 2025","passed","Tue Sep 30 11:11:28 GMT 2025","Delete entity","Files","",""
"","559","Login with correct email and password","LMS service","Tue Sep 30 11:11:20 GMT 2025","passed","Tue Sep 30 11:11:21 GMT 2025","Login","Authentication","",""
"","564","Create user","LMS service","Tue Sep 30 11:11:30 GMT 2025","passed","Tue Sep 30 11:11:30 GMT 2025","Create entity","Users","",""
"","315","Update course","LMS service","Tue Sep 30 11:11:21 GMT 2025","passed","Tue Sep 30 11:11:22 GMT 2025","Update entity","Courses","",""
"","20","Get file","LMS service","Tue Sep 30 11:11:27 GMT 2025","passed","Tue Sep 30 11:11:27 GMT 2025","Get entity","Files","",""
"","16","Get user me","LMS service","Tue Sep 30 11:11:31 GMT 2025","passed","Tue Sep 30 11:11:31 GMT 2025","Get entity","Users","",""
"","267","Create file with empty directory","LMS service","Tue Sep 30 11:11:29 GMT 2025","passed","Tue Sep 30 11:11:29 GMT 2025","Validate entity","Files","",""
"","272","Create exercise","LMS service","Tue Sep 30 11:11:23 GMT 2025","passed","Tue Sep 30 11:11:23 GMT 2025","Create entity","Exercises","",""
"","296","Update exercise","LMS service","Tue Sep 30 11:11:24 GMT 2025","passed","Tue Sep 30 11:11:24 GMT 2025","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Tue Sep 30 11:11:28 GMT 2025","passed","Tue Sep 30 11:11:28 GMT 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Tue Sep 30 11:11:29 GMT 2025","passed","Tue Sep 30 11:11:30 GMT 2025","Create entity","Users","",""
