"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Sun Oct 12 12:02:39 GMT 2025","passed","Sun Oct 12 12:02:39 GMT 2025","Update entity","Exercises","",""
"","531","Create user","LMS service","Sun Oct 12 12:02:44 GMT 2025","passed","Sun Oct 12 12:02:45 GMT 2025","Create entity","Users","",""
"","295","Delete user","LMS service","Sun Oct 12 12:02:48 GMT 2025","passed","Sun Oct 12 12:02:48 GMT 2025","Delete entity","Users","",""
"","303","Delete course","LMS service","Sun Oct 12 12:02:39 GMT 2025","passed","Sun Oct 12 12:02:39 GMT 2025","Delete entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Sun Oct 12 12:02:45 GMT 2025","passed","Sun Oct 12 12:02:46 GMT 2025","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Sun Oct 12 12:02:44 GMT 2025","passed","Sun Oct 12 12:02:44 GMT 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Sun Oct 12 12:02:38 GMT 2025","passed","Sun Oct 12 12:02:38 GMT 2025","Get entities","Courses","",""
"","22","Delete file","LMS service","Sun Oct 12 12:02:43 GMT 2025","passed","Sun Oct 12 12:02:43 GMT 2025","Delete entity","Files","",""
"","269","Create exercise","LMS service","Sun Oct 12 12:02:40 GMT 2025","passed","Sun Oct 12 12:02:40 GMT 2025","Create entity","Exercises","",""
"","32","Create course","LMS service","Sun Oct 12 12:02:37 GMT 2025","passed","Sun Oct 12 12:02:37 GMT 2025","Create entity","Courses","",""
"","30","Create file with empty directory","LMS service","Sun Oct 12 12:02:44 GMT 2025","passed","Sun Oct 12 12:02:44 GMT 2025","Validate entity","Files","",""
"","26","Get course by id","LMS service","Sun Oct 12 12:02:38 GMT 2025","passed","Sun Oct 12 12:02:38 GMT 2025","Get entity","Courses","",""
"","12","Get file","LMS service","Sun Oct 12 12:02:43 GMT 2025","passed","Sun Oct 12 12:02:43 GMT 2025","Get entity","Files","",""
"","555","Login with correct email and password","LMS service","Sun Oct 12 12:02:35 GMT 2025","passed","Sun Oct 12 12:02:35 GMT 2025","Login","Authentication","",""
"","563","Refresh token","LMS service","Sun Oct 12 12:02:36 GMT 2025","passed","Sun Oct 12 12:02:36 GMT 2025","Login","Authentication","",""
"","301","Update course","LMS service","Sun Oct 12 12:02:35 GMT 2025","passed","Sun Oct 12 12:02:36 GMT 2025","Update entity","Courses","",""
"","523","Create user","LMS service","Sun Oct 12 12:02:45 GMT 2025","passed","Sun Oct 12 12:02:46 GMT 2025","Create entity","Users","",""
"","259","Get user by id","LMS service","Sun Oct 12 12:02:48 GMT 2025","passed","Sun Oct 12 12:02:48 GMT 2025","Get entity","Users","",""
"","292","Delete exercise","LMS service","Sun Oct 12 12:02:41 GMT 2025","passed","Sun Oct 12 12:02:41 GMT 2025","Delete entity","Exercises","",""
"","19","Get exercise","LMS service","Sun Oct 12 12:02:41 GMT 2025","passed","Sun Oct 12 12:02:41 GMT 2025","Get entity","Exercises","",""
"","555","Create user","LMS service","Sun Oct 12 12:02:46 GMT 2025","passed","Sun Oct 12 12:02:46 GMT 2025","Create entity","Users","",""
"","28","Create file","LMS service","Sun Oct 12 12:02:42 GMT 2025","passed","Sun Oct 12 12:02:42 GMT 2025","Create entity","Files","",""
"","265","Get user me","LMS service","Sun Oct 12 12:02:46 GMT 2025","passed","Sun Oct 12 12:02:47 GMT 2025","Get entity","Users","",""
"","273","Update user","LMS service","Sun Oct 12 12:02:47 GMT 2025","passed","Sun Oct 12 12:02:47 GMT 2025","Update entity","Users","",""
"","285","Get exercises","LMS service","Sun Oct 12 12:02:42 GMT 2025","passed","Sun Oct 12 12:02:42 GMT 2025","Get entities","Exercises","",""
