"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get courses","LMS service","Thu Oct 02 09:44:01 GMT 2025","passed","Thu Oct 02 09:44:01 GMT 2025","Get entities","Courses","",""
"","19","Get file","LMS service","Thu Oct 02 09:44:06 GMT 2025","passed","Thu Oct 02 09:44:06 GMT 2025","Get entity","Files","",""
"","302","Update course","LMS service","Thu Oct 02 09:44:00 GMT 2025","passed","Thu Oct 02 09:44:01 GMT 2025","Update entity","Courses","",""
"","267","Create file with empty directory","LMS service","Thu Oct 02 09:44:08 GMT 2025","passed","Thu Oct 02 09:44:08 GMT 2025","Validate entity","Files","",""
"","287","Update exercise","LMS service","Thu Oct 02 09:44:03 GMT 2025","passed","Thu Oct 02 09:44:03 GMT 2025","Update entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Thu Oct 02 09:44:08 GMT 2025","passed","Thu Oct 02 09:44:08 GMT 2025","Validate entity","Files","",""
"","550","Login with correct email and password","LMS service","Thu Oct 02 09:44:00 GMT 2025","passed","Thu Oct 02 09:44:00 GMT 2025","Login","Authentication","",""
"","20","Get exercises","LMS service","Thu Oct 02 09:44:05 GMT 2025","passed","Thu Oct 02 09:44:05 GMT 2025","Get entities","Exercises","",""
"","278","Create exercise","LMS service","Thu Oct 02 09:44:02 GMT 2025","passed","Thu Oct 02 09:44:02 GMT 2025","Create entity","Exercises","",""
"","31","Create course","LMS service","Thu Oct 02 09:44:02 GMT 2025","passed","Thu Oct 02 09:44:02 GMT 2025","Create entity","Courses","",""
"","29","Create file with empty filename","LMS service","Thu Oct 02 09:44:07 GMT 2025","passed","Thu Oct 02 09:44:07 GMT 2025","Validate entity","Files","",""
"","527","Create user","LMS service","Thu Oct 02 09:44:08 GMT 2025","passed","Thu Oct 02 09:44:09 GMT 2025","Create entity","Users","",""
"","16","Get user me","LMS service","Thu Oct 02 09:44:10 GMT 2025","passed","Thu Oct 02 09:44:10 GMT 2025","Get entity","Users","",""
"","270","Create file","LMS service","Thu Oct 02 09:44:06 GMT 2025","passed","Thu Oct 02 09:44:06 GMT 2025","Create entity","Files","",""
"","21","Delete exercise","LMS service","Thu Oct 02 09:44:05 GMT 2025","passed","Thu Oct 02 09:44:05 GMT 2025","Delete entity","Exercises","",""
"","18","Get exercise","LMS service","Thu Oct 02 09:44:04 GMT 2025","passed","Thu Oct 02 09:44:04 GMT 2025","Get entity","Exercises","",""
"","286","Create user","LMS service","Thu Oct 02 09:44:08 GMT 2025","passed","Thu Oct 02 09:44:08 GMT 2025","Create entity","Users","",""
"","550","Create user","LMS service","Thu Oct 02 09:44:08 GMT 2025","passed","Thu Oct 02 09:44:09 GMT 2025","Create entity","Users","",""
"","22","Delete file","LMS service","Thu Oct 02 09:44:07 GMT 2025","passed","Thu Oct 02 09:44:07 GMT 2025","Delete entity","Files","",""
