"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user with incorrect user id","LMS service","Wed Oct 29 11:29:14 GMT 2025","passed","Wed Oct 29 11:29:14 GMT 2025","Validate entity","Users","",""
"","20","Get file with incorrect file id","LMS service","Wed Oct 29 11:29:10 GMT 2025","passed","Wed Oct 29 11:29:10 GMT 2025","Validate entity","Files","",""
"","263","Get user me","LMS service","Wed Oct 29 11:29:12 GMT 2025","passed","Wed Oct 29 11:29:12 GMT 2025","Get entity","Users","",""
"","287","Update exercise","LMS service","Wed Oct 29 11:29:05 GMT 2025","passed","Wed Oct 29 11:29:05 GMT 2025","Update entity","Exercises","",""
"","14","Get user by id","LMS service","Wed Oct 29 11:29:12 GMT 2025","passed","Wed Oct 29 11:29:12 GMT 2025","Get entity","Users","",""
"","22","Create exercise","LMS service","Wed Oct 29 11:29:05 GMT 2025","passed","Wed Oct 29 11:29:05 GMT 2025","Create entity","Exercises","",""
"","528","Create user","LMS service","Wed Oct 29 11:29:10 GMT 2025","passed","Wed Oct 29 11:29:11 GMT 2025","Create entity","Users","",""
"","266","Update user","LMS service","Wed Oct 29 11:29:13 GMT 2025","passed","Wed Oct 29 11:29:13 GMT 2025","Update entity","Users","",""
"","807","Refresh token","LMS service","Wed Oct 29 11:29:00 GMT 2025","passed","Wed Oct 29 11:29:01 GMT 2025","Login","Authentication","",""
"","288","Create user","LMS service","Wed Oct 29 11:29:10 GMT 2025","passed","Wed Oct 29 11:29:10 GMT 2025","Create entity","Users","",""
"","559","Login with correct email and password","LMS service","Wed Oct 29 11:28:59 GMT 2025","passed","Wed Oct 29 11:28:59 GMT 2025","Login","Authentication","",""
"","17","Get exercises","LMS service","Wed Oct 29 11:29:06 GMT 2025","passed","Wed Oct 29 11:29:06 GMT 2025","Get entities","Exercises","",""
"","30","Create file","LMS service","Wed Oct 29 11:29:07 GMT 2025","passed","Wed Oct 29 11:29:07 GMT 2025","Create entity","Files","",""
"","30","Get courses","LMS service","Wed Oct 29 11:28:59 GMT 2025","passed","Wed Oct 29 11:28:59 GMT 2025","Get entities","Courses","",""
"","26","Delete exercise","LMS service","Wed Oct 29 11:29:06 GMT 2025","passed","Wed Oct 29 11:29:06 GMT 2025","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Wed Oct 29 11:29:04 GMT 2025","passed","Wed Oct 29 11:29:04 GMT 2025","Get entity","Exercises","",""
"","12","Invalid refresh token","LMS service","Wed Oct 29 11:29:01 GMT 2025","passed","Wed Oct 29 11:29:01 GMT 2025","Login","Authentication","",""
"","264","Get course with incorrect course id","LMS service","Wed Oct 29 11:29:04 GMT 2025","passed","Wed Oct 29 11:29:04 GMT 2025","Validate entity","Courses","",""
"","16","Get file","LMS service","Wed Oct 29 11:29:07 GMT 2025","passed","Wed Oct 29 11:29:07 GMT 2025","Get entity","Files","",""
"","266","Create file with empty directory","LMS service","Wed Oct 29 11:29:10 GMT 2025","passed","Wed Oct 29 11:29:10 GMT 2025","Validate entity","Files","",""
"","37","Update course","LMS service","Wed Oct 29 11:29:01 GMT 2025","passed","Wed Oct 29 11:29:01 GMT 2025","Update entity","Courses","",""
"","39","Delete course","LMS service","Wed Oct 29 11:29:03 GMT 2025","passed","Wed Oct 29 11:29:03 GMT 2025","Delete entity","Courses","",""
"","20","Delete file","LMS service","Wed Oct 29 11:29:09 GMT 2025","passed","Wed Oct 29 11:29:09 GMT 2025","Delete entity","Files","",""
"","35","Get course by id","LMS service","Wed Oct 29 11:29:02 GMT 2025","passed","Wed Oct 29 11:29:02 GMT 2025","Get entity","Courses","",""
"","32","Create course","LMS service","Wed Oct 29 11:29:02 GMT 2025","passed","Wed Oct 29 11:29:02 GMT 2025","Create entity","Courses","",""
"","25","Create file with empty filename","LMS service","Wed Oct 29 11:29:09 GMT 2025","passed","Wed Oct 29 11:29:09 GMT 2025","Validate entity","Files","",""
"","577","Delete user","LMS service","Wed Oct 29 11:29:13 GMT 2025","passed","Wed Oct 29 11:29:14 GMT 2025","Delete entity","Users","",""
"","547","Create user","LMS service","Wed Oct 29 11:29:10 GMT 2025","passed","Wed Oct 29 11:29:10 GMT 2025","Create entity","Users","",""
