"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Create user","LMS service","Sun Oct 26 15:04:23 GMT 2025","passed","Sun Oct 26 15:04:23 GMT 2025","Create entity","Users","",""
"","33","Create course","LMS service","Sun Oct 26 15:04:15 GMT 2025","passed","Sun Oct 26 15:04:15 GMT 2025","Create entity","Courses","",""
"","290","Update exercise","LMS service","Sun Oct 26 15:04:17 GMT 2025","passed","Sun Oct 26 15:04:18 GMT 2025","Update entity","Exercises","",""
"","552","Create user","LMS service","Sun Oct 26 15:04:23 GMT 2025","passed","Sun Oct 26 15:04:23 GMT 2025","Create entity","Users","",""
"","287","Login with correct email and password","LMS service","Sun Oct 26 15:04:11 GMT 2025","passed","Sun Oct 26 15:04:12 GMT 2025","Login","Authentication","",""
"","267","Create file with empty directory","LMS service","Sun Oct 26 15:04:22 GMT 2025","passed","Sun Oct 26 15:04:23 GMT 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Sun Oct 26 15:04:16 GMT 2025","passed","Sun Oct 26 15:04:16 GMT 2025","Get entity","Exercises","",""
"","265","Get course with incorrect course id","LMS service","Sun Oct 26 15:04:17 GMT 2025","passed","Sun Oct 26 15:04:17 GMT 2025","Validate entity","Courses","",""
"","257","Update user","LMS service","Sun Oct 26 15:04:25 GMT 2025","passed","Sun Oct 26 15:04:26 GMT 2025","Update entity","Users","",""
"","27","Create file with empty filename","LMS service","Sun Oct 26 15:04:21 GMT 2025","passed","Sun Oct 26 15:04:21 GMT 2025","Validate entity","Files","",""
"","304","Delete course","LMS service","Sun Oct 26 15:04:16 GMT 2025","passed","Sun Oct 26 15:04:16 GMT 2025","Delete entity","Courses","",""
"","572","Delete user","LMS service","Sun Oct 26 15:04:26 GMT 2025","passed","Sun Oct 26 15:04:26 GMT 2025","Delete entity","Users","",""
"","267","Get user me","LMS service","Sun Oct 26 15:04:24 GMT 2025","passed","Sun Oct 26 15:04:25 GMT 2025","Get entity","Users","",""
"","30","Create file","LMS service","Sun Oct 26 15:04:20 GMT 2025","passed","Sun Oct 26 15:04:20 GMT 2025","Create entity","Files","",""
"","14","Get user with incorrect user id","LMS service","Sun Oct 26 15:04:27 GMT 2025","passed","Sun Oct 26 15:04:27 GMT 2025","Validate entity","Users","",""
"","23","Delete file","LMS service","Sun Oct 26 15:04:21 GMT 2025","passed","Sun Oct 26 15:04:21 GMT 2025","Delete entity","Files","",""
"","289","Create user","LMS service","Sun Oct 26 15:04:23 GMT 2025","passed","Sun Oct 26 15:04:23 GMT 2025","Create entity","Users","",""
"","30","Delete exercise","LMS service","Sun Oct 26 15:04:19 GMT 2025","passed","Sun Oct 26 15:04:19 GMT 2025","Delete entity","Exercises","",""
"","252","Invalid refresh token","LMS service","Sun Oct 26 15:04:13 GMT 2025","passed","Sun Oct 26 15:04:13 GMT 2025","Login","Authentication","",""
"","305","Get courses","LMS service","Sun Oct 26 15:04:12 GMT 2025","passed","Sun Oct 26 15:04:13 GMT 2025","Get entities","Courses","",""
"","23","Create exercise","LMS service","Sun Oct 26 15:04:18 GMT 2025","passed","Sun Oct 26 15:04:18 GMT 2025","Create entity","Exercises","",""
"","14","Get file","LMS service","Sun Oct 26 15:04:20 GMT 2025","passed","Sun Oct 26 15:04:20 GMT 2025","Get entity","Files","",""
"","20","Get exercises","LMS service","Sun Oct 26 15:04:19 GMT 2025","passed","Sun Oct 26 15:04:19 GMT 2025","Get entities","Exercises","",""
"","17","Get file with incorrect file id","LMS service","Sun Oct 26 15:04:23 GMT 2025","passed","Sun Oct 26 15:04:23 GMT 2025","Validate entity","Files","",""
"","14","Get user by id","LMS service","Sun Oct 26 15:04:25 GMT 2025","passed","Sun Oct 26 15:04:25 GMT 2025","Get entity","Users","",""
"","34","Get course by id","LMS service","Sun Oct 26 15:04:14 GMT 2025","passed","Sun Oct 26 15:04:14 GMT 2025","Get entity","Courses","",""
"","304","Update course","LMS service","Sun Oct 26 15:04:14 GMT 2025","passed","Sun Oct 26 15:04:14 GMT 2025","Update entity","Courses","",""
"","298","Refresh token","LMS service","Sun Oct 26 15:04:12 GMT 2025","passed","Sun Oct 26 15:04:13 GMT 2025","Login","Authentication","",""
